P_actual,I_actual,G_actual,group_id,group_label,n,pi_zj
1,1,1,1-1-1,首胎/无子女|中低收入|无祖辈照护,3,0.0078125
1,1,2,1-1-2,首胎/无子女|中低收入|有祖辈照护,15,0.0390625
1,2,1,1-2-1,首胎/无子女|中高收入|无祖辈照护,2,0.005208333333333333
1,2,2,1-2-2,首胎/无子女|中高收入|有祖辈照护,20,0.052083333333333336
2,1,1,2-1-1,二胎/已有1孩|中低收入|无祖辈照护,10,0.026041666666666668
2,1,2,2-1-2,二胎/已有1孩|中低收入|有祖辈照护,85,0.22135416666666666
2,2,1,2-2-1,二胎/已有1孩|中高收入|无祖辈照护,21,0.0546875
2,2,2,2-2-2,二胎/已有1孩|中高收入|有祖辈照护,187,0.4869791666666667
3,1,1,3-1-1,三胎/已有2孩及以上|中低收入|无祖辈照护,1,0.0026041666666666665
3,1,2,3-1-2,三胎/已有2孩及以上|中低收入|有祖辈照护,3,0.0078125
3,2,1,3-2-1,三胎/已有2孩及以上|中高收入|无祖辈照护,5,0.013020833333333334
3,2,2,3-2-2,三胎/已有2孩及以上|中高收入|有祖辈照护,32,0.08333333333333333
