P,I,G,S,L,C,mu_hat_zj,mu_hat_base_zj,delta_hat_zj,group_id,policy_id,n_obs_cell
1,1,1,2,1,1,6.912767898679368,6.947267590384765,-0.0344996917053972,1-1-1,2-1-1,16
1,1,1,1,1,1,6.947267590384765,6.947267590384765,0.0,1-1-1,1-1-1,13
1,1,1,1,2,2,7.081726875703792,6.947267590384765,0.1344592853190267,1-1-1,1-2-2,39
1,1,2,1,2,2,7.345659880787855,7.655822934459119,-0.3101630536712632,1-1-2,1-2-2,0
1,1,2,1,3,2,7.507135780988766,7.655822934459119,-0.1486871534703526,1-1-2,1-3-2,10
1,1,2,1,1,2,7.561830565480265,7.655822934459119,-0.0939923689788537,1-1-2,1-1-2,0
1,2,1,2,1,1,7.042890173381235,7.058226399710394,-0.0153362263291594,1-2-1,2-1-1,0
1,2,1,1,1,1,7.058226399710394,7.058226399710394,0.0,1-2-1,1-1-1,47
1,2,1,3,1,1,7.112585096057974,7.058226399710394,0.0543586963475801,1-2-1,3-1-1,12
1,2,2,1,2,2,7.666120475964787,7.766781743784748,-0.1006612678199614,1-2-2,1-2-2,0
1,2,2,1,1,2,7.761006991869627,7.766781743784748,-0.005774751915121,1-2-2,1-1-2,37
1,2,2,1,1,1,7.766781743784748,7.766781743784748,0.0,1-2-2,1-1-1,13
2,1,1,2,1,1,6.489470998322738,6.592800230031338,-0.1033292317086003,2-1-1,2-1-1,13
2,1,1,1,1,1,6.592800230031338,6.592800230031338,0.0,2-1-1,1-1-1,11
2,1,1,1,1,2,6.922574980108412,6.592800230031338,0.3297747500770738,2-1-1,1-1-2,34
2,1,2,1,2,2,7.223757149712036,7.301355574105692,-0.0775984243936553,2-1-2,1-2-2,12
2,1,2,2,1,1,7.234397059517924,7.301355574105692,-0.0669585145877675,2-1-2,2-1-1,0
2,1,2,1,1,1,7.301355574105692,7.301355574105692,0.0,2-1-2,1-1-1,47
2,2,1,2,1,1,6.619593273024606,6.703759039356967,-0.0841657663323616,2-2-1,2-1-1,34
2,2,1,1,1,1,6.703759039356967,6.703759039356967,0.0,2-2-1,1-1-1,0
2,2,1,3,1,1,6.805825082252429,6.703759039356967,0.102066042895462,2-2-1,3-1-1,0
2,2,2,2,1,1,7.364519334219792,7.412314383431322,-0.0477950492115297,2-2-2,2-1-1,43
2,2,2,1,1,1,7.412314383431322,7.412314383431322,0.0,2-2-2,1-1-1,45
2,2,2,1,1,2,7.508909331370862,7.412314383431322,0.0965949479395407,2-2-2,1-1-2,43
3,1,1,1,1,1,6.155491309140284,6.155491309140284,0.0,3-1-1,1-1-1,37
3,1,1,2,1,1,6.19834687943325,6.155491309140284,0.042855570292966,3-1-1,2-1-1,72
3,1,1,1,2,1,6.319574030133873,6.155491309140284,0.1640827209935897,3-1-1,1-2-1,73
3,1,2,1,2,2,6.598286202893519,6.864046653214636,-0.2657604503211175,3-1-2,1-2-2,34
3,1,2,1,1,1,6.864046653214636,6.864046653214636,0.0,3-1-2,1-1-1,9
3,1,2,1,3,2,6.884793892717001,6.864046653214636,0.0207472395023646,3-1-2,1-3-2,0
3,2,1,1,1,1,6.2664501184659125,6.2664501184659125,0.0,3-2-1,1-1-1,0
3,2,1,3,1,1,6.295779327426025,6.2664501184659125,0.0293292089601129,3-2-1,3-1-1,34
3,2,1,2,1,1,6.328469154135117,6.2664501184659125,0.0620190356692047,3-2-1,2-1-1,0
3,2,2,1,2,2,6.918746798070453,6.975005462540265,-0.0562586644698122,3-2-2,1-2-2,36
3,2,2,1,1,1,6.975005462540265,6.975005462540265,0.0,3-2-2,1-1-1,10
3,2,2,2,1,1,7.073395215330303,6.975005462540265,0.0983897527900374,3-2-2,2-1-1,20
