S_main,L_main,C_main,policy_id,Ebar_zj_main,mu_bar_zj_main,share_observed_main,S_robust,L_robust,C_robust,Ebar_zj_robust,mu_bar_zj_robust,share_observed_robust,Ebar_diff_main_minus_robust,mu_diff_main_minus_robust
3,3,2,3-3-2,0.862091104611624,8.15333133053092,0.8333333333333334,3,3,2,0.890013950317256,8.174014725971144,0.8333333333333334,-0.027922845705632082,-0.020683395440224572
3,3,1,3-3-1,0.8375801760090992,8.128820401928396,0.8333333333333334,3,3,1,0.8533558655225381,8.137356641176426,0.8333333333333334,-0.015775689513438884,-0.008536239248030597
3,2,1,3-2-1,0.639097796286265,7.93033802220556,0.8333333333333334,3,2,1,0.6506612113900386,7.934661987043928,0.8333333333333334,-0.011563415103773678,-0.004323964838367722
2,3,2,2-3-2,0.5939900418013881,7.885230267720684,0.75,2,3,2,0.5995803498367717,7.88358112549066,0.75,-0.005590308035383518,0.0016491422300237701
3,1,2,3-1-2,0.48834224405064736,7.779582469969943,0.8333333333333334,3,1,2,0.4961518872648044,7.780152662918694,0.8333333333333334,-0.007809643214157058,-0.0005701929487509361
2,3,1,2-3-1,0.4743626702809772,7.765602896200273,0.75,2,3,1,0.45526201339052996,7.739262789044419,0.75,0.019100656890447265,0.02634010715585422
3,2,2,3-2-2,0.44214631428260226,7.733386540201898,0.8333333333333334,3,2,2,0.44914034126026375,7.733141116914154,0.8333333333333334,-0.006994026977661494,0.00024542328774401767
1,3,1,1-3-1,0.4200796152325476,7.711319841151843,0.6666666666666666,1,3,1,0.43842720438647154,7.722427980040362,0.6666666666666666,-0.018347589153923927,-0.01110813888851947
2,2,1,2-2-1,0.37278912469212566,7.664029350611422,0.8333333333333334,2,2,1,0.37555660245569383,7.659557378109583,0.8333333333333334,-0.0027674777635681713,0.004471972501838728
1,2,1,1-2-1,0.35758910595807974,7.6488293318773755,0.75,1,2,1,0.3724586536361242,7.656459429290014,0.75,-0.014869547678044437,-0.007630097412638648
1,3,2,1-3-2,0.356338575762416,7.647578801681712,0.6666666666666666,1,3,2,0.3917863408253342,7.675787116479224,0.6666666666666666,-0.03544776506291819,-0.028208314797511846
3,1,1,3-1-1,0.2981852468256237,7.589425472744919,0.8333333333333334,3,1,1,0.30102968725312695,7.585030462907016,0.8333333333333334,-0.0028444404275032587,0.0043950098379026414
2,2,2,2-2-2,0.27095408560634826,7.562194311525645,0.75,2,2,2,0.28169598397744267,7.56569675963133,0.75,-0.010741898371094405,-0.0035024481056851187
2,1,2,2-1-2,0.25043949227017526,7.541679718189472,0.75,2,1,2,0.2598446334287259,7.543845409082616,0.75,-0.009405141158550623,-0.002165690893144223
1,1,2,1-1-2,0.1019050291523668,7.393145255071662,0.75,1,1,2,0.11182325165582324,7.395824027309712,0.75,-0.009918222503456448,-0.002678772238049909
1,2,2,1-2-2,0.07238565588176038,7.363625881801056,0.75,1,2,2,0.08763883515049438,7.371639610804383,0.75,-0.015253179268733999,-0.008013729003327086
1,1,1,1-1-1,0.0,7.291240225919295,0.75,1,1,1,0.0,7.284000775653889,0.75,0.0,0.0072394502654056225
2,1,1,2-1-1,-0.034833947872734014,7.25640627804656,0.75,2,1,1,-0.042937818234475435,7.241062957419414,0.75,0.00810387036174142,0.015343320627145829
