parameter,value,unit,note
cash_increment_S1,0.0,元,相对浙江现行育儿补贴基线的增量
cash_increment_S2,10800.0,元,相对基线+1档
cash_increment_S3,21600.0,元,相对基线+2档
annual_childcare_relief_C1,0.0,元/年,基础托育
annual_childcare_relief_C2,8400.0,元/年,增强托育，3200→2500元/月
monthly_wage_private_2024,6435.833333333333,元/月,浙江私营单位就业人员年平均工资/12
monthly_wage_nonprivate_2024,11436.583333333334,元/月,浙江非私营单位就业人员年平均工资/12
q_main,0.8,比例,主分析假期实际使用率
q_low,0.6,比例,稳健性下界
q_high,1.0,比例,稳健性上界
tau_si_main,0.26,比例,单位养老+医疗+失业缴费近似参数（模型校准值）
rg_main,1.0,比例,广义公共支出口径下新增公共支付比例
mL_L1_main,0.0,月,新增公共支付月数
mL_L2_main,1.0,月,新增公共支付月数
mL_L3_main,2.0,月,新增公共支付月数
kL_L1_main,0.0,月,增量企业社保补贴月数（增量化处理）
kL_L2_main,6.0,月,增量企业社保补贴月数
kL_L3_main,6.0,月,增量企业社保补贴月数
overall_ug_empirical,0.7317708333333334,比例,浙江样本0-3岁正式托育偏好总体占比
births_2024_zj,410000.0,人,2024年浙江出生人口
baseline_anchor_budget,4428000000.0,元/年,41.0万人×3600元×3年
