scenario,scenario_note,policy_id,S,L,C,Cbar_zj,Cbar_cash,Cbar_childcare,Cbar_leave,Ebar_zj,share_observed,E_per_10k_yuan,cost_rank_asc,effect_rank_desc,ce_rank_desc
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-1-1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.75,,1,17,
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-1-2,1,1,2,6146.874999999998,0.0,6146.874999999998,0.0,0.10190502915236678,0.75,0.16578347396419613,2,15,7
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-1-1,2,1,1,10799.999999999998,10799.999999999998,0.0,0.0,-0.034833947872733965,0.75,-0.03225365543771664,3,18,17
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-2-1,1,2,1,14115.994260416666,0.0,0.0,14115.994260416666,0.3575891059580797,0.75,0.2533219406023792,4,10,1
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-1-2,2,1,2,16946.874999999993,10799.999999999998,6146.874999999998,0.0,0.2504394922701753,0.75,0.1477791582637952,5,14,10
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-2-2,1,2,2,20262.869260416657,0.0,6146.874999999998,14115.994260416666,0.07238565588176035,0.75,0.035723300067461376,6,16,16
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-1-1,3,1,1,21599.999999999996,21599.999999999996,0.0,0.0,0.29818524682562364,0.8333333333333334,0.13804872538223317,7,12,12
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-3-1,1,3,1,22046.32811458333,0.0,0.0,22046.32811458333,0.4200796152325476,0.6666666666666666,0.19054402758102423,8,8,3
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-2-1,2,2,1,24915.994260416657,10799.999999999998,0.0,14115.994260416666,0.3727891246921256,0.8333333333333334,0.14961840205765548,9,9,9
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-1-2,3,1,2,27746.87499999999,21599.999999999996,6146.874999999998,0.0,0.4883422440506473,0.8333333333333334,0.1759990067532461,10,5,5
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",1-3-2,1,3,2,28193.203114583328,0.0,6146.874999999998,22046.32811458333,0.35633857576241595,0.6666666666666666,0.12639166054108086,11,11,13
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-2-2,2,2,2,31062.869260416657,10799.999999999998,6146.874999999998,14115.994260416666,0.2709540856063482,0.75,0.0872276425383615,12,13,15
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-3-1,2,3,1,32846.328114583324,10799.999999999998,0.0,22046.32811458333,0.47436267028097717,0.75,0.14441878210135964,13,6,11
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-2-1,3,2,1,35715.99426041666,21599.999999999996,0.0,14115.994260416666,0.6390977962862652,0.8333333333333334,0.17893882265362687,14,3,4
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",2-3-2,2,3,2,38993.20311458332,10799.999999999998,6146.874999999998,22046.32811458333,0.5939900418013881,0.75,0.1523316871547898,15,4,8
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-2-2,3,2,2,41862.86926041666,21599.999999999996,6146.874999999998,14115.994260416666,0.4421463142826022,0.8333333333333334,0.10561777587010088,16,7,14
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-3-1,3,3,1,43646.32811458332,21599.999999999996,0.0,22046.32811458333,0.8375801760090991,0.8333333333333334,0.19190163575965116,17,2,2
main_broad_q08_m012,"主结果：广义公共支出口径；q=0.8；m_L={0,1,2}",3-3-2,3,3,2,49793.20311458332,21599.999999999996,6146.874999999998,22046.32811458333,0.8620911046116242,0.8333333333333334,0.17313429357573043,18,1,6
