group_id,group_label,policy_id,policy_label,S,L,C,pi_zj,N_g,is_vulnerable,delta_hat_zj,cost_per_household_yuan,group_total_cost_yuan,group_total_effect_units
1-1-1,首胎/无子女|中低收入|无祖辈照护,3-1-2,高补贴–短假期–增强托育,3,1,2,0.0078125,3203.125,0,0.7133234414353753,21600.0,69187500.0,2284.8641483476863
1-1-2,首胎/无子女|中低收入|有祖辈照护,3-1-1,高补贴–短假期–基础托育,3,1,1,0.0390625,16015.625,0,0.5147227808236341,21600.0,345937500.0,8243.607036628515
1-2-1,首胎/无子女|中高收入|无祖辈照护,2-1-2,中补贴–短假期–增强托育,2,1,2,0.0052083333333333,2135.416666666653,0,0.4836548519475272,15000.0,32031249.99999979,1032.804631762942
1-2-2,首胎/无子女|中高收入|有祖辈照护,1-1-1,低补贴–短假期–基础托育,1,1,1,0.0520833333333333,21354.166666666653,0,0.0,0.0,0.0,0.0
2-1-1,二胎/已有1孩|中低收入|无祖辈照护,3-3-2,高补贴–长假期–增强托育,3,3,2,0.0260416666666666,10677.083333333305,1,1.3827130659770503,43473.293333333335,464167975.6944432,14763.342631525758
2-1-2,二胎/已有1孩|中低收入|有祖辈照护,3-3-1,高补贴–长假期–基础托育,3,3,1,0.2213541666666666,90755.20833333331,0,1.0584621000264691,35913.293333333335,3259318418.402777,96060.94840083968
2-2-1,二胎/已有1孩|中高收入|无祖辈照护,1-3-2,低补贴–长假期–增强托育,1,3,2,0.0546875,22421.875,0,0.9320361732277452,31034.961333333336,695862023.6458334,20897.99857159085
2-2-2,二胎/已有1孩|中高收入|有祖辈照护,1-2-1,低补贴–中假期–基础托育,1,2,1,0.4869791666666667,199661.45833333334,0,0.4224168927467913,16285.694666666668,3251625547.118056,84340.3728304596
3-1-1,三胎/已有2孩及以上|中低收入|无祖辈照护,3-1-2,高补贴–短假期–增强托育,3,1,2,0.0026041666666666,1067.708333333306,1,0.8627765507297704,30000.0,32031249.99999918,921.1937130187417
3-1-2,三胎/已有2孩及以上|中低收入|有祖辈照护,3-1-2,高补贴–短假期–增强托育,3,1,2,0.0078125,3203.125,0,0.6584354892118327,27200.0,87125000.0,2109.0511763816517
3-2-1,三胎/已有2孩及以上|中高收入|无祖辈照护,2-1-2,中补贴–短假期–增强托育,2,1,2,0.0130208333333333,5338.541666666652,0,0.7354927106277538,15840.0,84562499.99999978,3926.458481215863
3-2-2,三胎/已有2孩及以上|中高收入|有祖辈照护,2-1-2,中补贴–短假期–增强托育,2,1,2,0.0833333333333333,34166.66666666666,0,0.4504660085473224,16837.5,575281249.9999999,15390.921958700177
