group_id,group_label,tight,moderate,ample,max
1-1-1,首胎/无子女|中低收入|无祖辈照护,3-1-2,1-1-2,3-3-2,3-1-2
1-1-2,首胎/无子女|中低收入|有祖辈照护,1-1-1,1-1-1,1-1-1,3-1-1
1-2-1,首胎/无子女|中高收入|无祖辈照护,1-1-2,2-1-2,1-1-2,1-1-2
1-2-2,首胎/无子女|中高收入|有祖辈照护,1-1-1,1-1-1,1-1-1,1-1-1
2-1-1,二胎/已有1孩|中低收入|无祖辈照护,3-3-2,3-3-2,3-3-2,3-3-2
2-1-2,二胎/已有1孩|中低收入|有祖辈照护,1-1-1,1-2-1,3-3-1,3-3-1
2-2-1,二胎/已有1孩|中高收入|无祖辈照护,1-1-2,1-1-2,1-1-2,1-3-2
2-2-2,二胎/已有1孩|中高收入|有祖辈照护,1-1-1,1-1-1,1-1-1,1-2-1
3-1-1,三胎/已有2孩及以上|中低收入|无祖辈照护,3-3-2,3-3-2,3-3-2,3-3-2
3-1-2,三胎/已有2孩及以上|中低收入|有祖辈照护,3-1-2,3-1-2,3-1-2,3-1-2
3-2-1,三胎/已有2孩及以上|中高收入|无祖辈照护,2-1-2,1-1-2,2-1-2,2-1-2
3-2-2,三胎/已有2孩及以上|中高收入|有祖辈照护,1-1-2,2-1-2,1-1-2,2-1-2
